idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
0 2.1122893267198197 -2.1122893267198197 0.0 0.0 0.5 26034.084193826042 117.27222312222705 0.23689974027766642 1368.5299798382844 0.0 0.29083696534126086 
1 1.7832003720718363 -1.7832003720718363 0.0 0.0 0.5 53923.2340804507 116.12010317021947 0.21774577248508345 1434.3793043792089 0.0 0.2890910447702436 
2 1.7471012355401734 -1.7471012355401734 0.0 0.0 0.5 65129.223978735914 103.54387934768198 0.2018932441966675 1396.8493274172463 0.0 0.29132692918139835 
3 1.8648395788385588 -1.8648395788385588 0.0 0.0 0.5 31541.274064216188 130.5189319854382 0.2343464743187706 1323.7388655620691 0.0 0.2943306779439415 
4 2.1227528435088616 -2.1227528435088616 0.0 0.0 0.5 12995.27801343315 91.47951908023435 0.23226895457699515 1508.0289794041043 0.0 0.28786648948724664 
5 1.927353191971965 -1.927353191971965 0.0 0.0 0.5 21430.853600818282 74.46754292470638 0.2262351630466787 1496.9622202043463 0.0 0.2860538622428124 
6 2.4337500001682466 -2.4337500001682466 0.0 0.0 0.5 39142.513439554816 88.94951532171551 0.21749194907599184 1416.492761174812 0.0 0.29025253069991735 
7 1.8700074635004604 -1.8700074635004604 0.0 0.0 0.5 43755.5599362123 123.40173153106113 0.22982402577450337 1404.0122365166437 0.0 0.29018160351568345 
8 1.385898493473659 -1.385898493473659 0.0 0.0 0.5 20307.751091364145 91.16570002327269 0.22790453051447704 1460.3102985017326 0.0 0.2898713666416419 
9 1.3513560281410295 -1.3513560281410295 0.0 0.0 0.5 28475.76806422008 91.7080060152982 0.22876400305880787 1300.2360227250836 0.0 0.2937585105152541 
10 1.6127884930747491 -1.6127884930747491 0.0 0.0 0.5 40297.779721439976 89.68318126045372 0.2191829684417805 1377.9898769700033 0.0 0.29135059969957683 
11 2.2375325571743616 -2.2375325571743616 0.0 0.0 0.5 13672.42688905959 103.41227812073474 0.24295529092720947 1463.336637968056 0.0 0.28877672667831217 
12 2.062440448800728 -2.062440448800728 0.0 0.0 0.5 22491.252449363717 63.89305419697137 0.2242501015386972 1440.3165558494265 0.0 0.29009186195427733 
13 2.1836767374031267 -2.1836767374031267 0.0 0.0 0.5 19398.731123676196 116.61670761068099 0.241509742277011 1336.7592842817892 0.0 0.29223288246795354 
14 1.9208091641409786 -1.9208091641409786 0.0 0.0 0.5 29615.03535731416 77.29511737781533 0.23325507249893268 1547.9963913907236 0.0 0.28158981552496926 
15 1.6235865264393612 -1.6235865264393612 0.0 0.0 0.5 26414.558426346357 124.00181734116713 0.22649119883453894 1376.0942395455727 0.0 0.29342590740818697 
16 1.7681748433396507 -1.7681748433396507 0.0 0.0 0.5 41809.86905639112 99.57538513078599 0.2146647085488923 1441.0076120312633 0.0 0.2911157670849719 
17 1.5512258425697703 -1.5512258425697703 0.0 0.0 0.5 12115.563022387194 71.33626535571084 0.24710409550819737 1444.5817657005468 0.0 0.28557591640057495 
18 1.5661510702323598 -1.5661510702323598 0.0 0.0 0.5 25795.12452222282 104.06472923630292 0.24318555094655492 1469.0761075859814 0.0 0.2872113672866223 
19 1.536400877724945 -1.536400877724945 0.0 0.0 0.5 42213.73734034683 80.38930660073926 0.21294442259964327 1435.5790603585704 0.0 0.2900505722907315 
20 1.9421838001203873 -1.9421838001203873 0.0 0.0 0.5 43322.99392845477 120.2417468617065 0.21900815834628176 1259.7609484866048 0.0 0.2966978583182394 
21 1.8781053207518386 -1.8781053207518386 0.0 0.0 0.5 39978.732947722536 101.98863509815679 0.21890459577246696 1512.6547926937556 0.0 0.2867078245169696 
22 2.2390582537676833 -2.2390582537676833 0.0 0.0 0.5 16791.250158834144 126.77905894602661 0.22606872985412457 1376.4173596963892 0.0 0.294377558687089 
