idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
0 2.236393888867041 -2.236393888867041 0.0 0.0 0.5 9932.682926609334 76.79548006759259 0.2081186904493688 994.4770863512268 0.0 0.3092056345953579 
1 1.9236883722906477 -1.9236883722906477 0.0 0.0 0.5 3200.919458976099 69.39192089597492 0.20483796282602648 1012.9065046022738 0.0 0.30588130523453616 
2 1.6543767856424736 -1.6543767856424736 0.0 0.0 0.5 8222.176454463324 44.09938563161444 0.228720964288837 842.6426702498316 0.0 0.31466253322766424 
3 2.0483967395114475 -2.0483967395114475 0.0 0.0 0.5 -53.05615450570804 62.90872949352501 0.25058463561489425 932.8964371308722 0.0 0.3217119279283215 
4 1.7832117696815724 -1.7832117696815724 0.0 0.0 0.5 11228.56261711712 57.56031807958099 0.16603748366047621 1187.8519989664571 0.0 0.3106477313870465 
5 1.7670016262802508 -1.7670016262802508 0.0 0.0 0.5 12187.129693688894 57.3883726869123 0.17480720197840996 1024.2425086255994 0.0 0.3069028222361051 
6 1.5717376644455006 -1.5717376644455006 0.0 0.0 0.5 12236.529717151901 63.28934408363651 0.32956713026985285 1083.4889710220682 0.0 0.28641744832884153 
7 1.815942596779144 -1.815942596779144 0.0 0.0 0.5 8005.244397332022 40.89647934588754 0.2375380456968376 876.7713500915232 0.0 0.3212930547397811 
8 1.8552767675160045 -1.8552767675160045 0.0 0.0 0.5 22482.027859000373 64.73286710160741 0.08620290517070828 1449.1490315694775 0.0 0.29566856058082525 
9 1.8723731795637342 -1.8723731795637342 0.0 0.0 0.5 16636.637336273692 63.97228934027098 0.1104376754760103 1095.4370893576865 0.0 0.3041445232513968 
10 2.214515693834387 -2.214515693834387 0.0 0.0 0.5 15440.306358133608 48.048463597031656 0.18662069687392893 1354.5627940939676 0.0 0.30596132052218167 
11 1.7503700727306428 -1.7503700727306428 0.0 0.0 0.5 2501.803825784419 75.97991130378233 0.2676924181989092 1091.828679683759 0.0 0.2943320641779415 
12 2.042352346130918 -2.042352346130918 0.0 0.0 0.5 -449.65236017489406 51.89102954156519 0.252939498464445 898.8504093272085 0.0 0.32255142185228186 
13 2.122129852689532 -2.122129852689532 0.0 0.0 0.5 14213.802666840607 65.406220652711 0.18294795113000722 979.2311252614398 0.0 0.30812915066077023 
14 1.6751381762352344 -1.6751381762352344 0.0 0.0 0.5 20090.41557424196 38.843855662218935 0.09661946192847494 1214.9755484226937 0.0 0.3078423317130858 
15 1.6742413727535286 -1.6742413727535286 0.0 0.0 0.5 9418.134458322544 55.96092032475264 0.13103859773130247 1264.514118088103 0.0 0.3076945410716347 
16 1.6897253142620299 -1.6897253142620299 0.0 0.0 0.5 12140.617433966114 54.59914977592094 0.1333784914392516 1445.3846310166784 0.0 0.30395317674477895 
17 2.1764270561900214 -2.1764270561900214 0.0 0.0 0.5 6077.386506036024 71.350172019533 0.07814329069097262 1023.0064922610393 0.0 0.3182720589054204 
18 1.8045169764042186 -1.8045169764042186 0.0 0.0 0.5 28967.279135138775 42.608779428777595 0.11362969981016749 1417.6876293550972 0.0 0.3007493910490439 
19 2.024385720228096 -2.024385720228096 0.0 0.0 0.5 5973.903697169169 81.85292595841403 0.11735571604406703 1092.4007663762184 0.0 0.30446602526623684 
20 1.9764560454240325 -1.9764560454240325 0.0 0.0 0.5 4584.596313610348 52.02812167363587 0.27201826465857054 833.7127113012266 0.0 0.3252552155481602 
21 1.9456032616256016 -1.9456032616256016 0.0 0.0 0.5 -1451.6211498639864 52.69300474544005 0.17470929792636838 1024.8275023256176 0.0 0.32249692401555535 
22 1.99340742318598 -1.99340742318598 0.0 0.0 0.5 12787.56240521077 51.912562512262795 0.2628990880253769 731.0506906829114 0.0 0.32079091565923323 
23 2.0024698576379927 -2.0024698576379927 0.0 0.0 0.5 19229.374250159526 47.62483561916037 0.14064278031419922 1057.9961915581393 0.0 0.313888426965442 
24 1.5805911257601737 -1.5805911257601737 0.0 0.0 0.5 17979.797254739235 13.898974127529378 0.24012144512489728 951.9119002059616 0.0 0.3188227976062665 
25 1.9067596836832854 -1.9067596836832854 0.0 0.0 0.5 7955.514492918994 47.133189140748165 0.23866171657588708 847.4767432746632 0.0 0.32749280132612396 
26 1.8486120767144862 -1.8486120767144862 0.0 0.0 0.5 18044.652307050994 63.54736635837268 0.10052974669420214 1363.061233273917 0.0 0.3031458233075066 
27 1.6204060618863325 -1.6204060618863325 0.0 0.0 0.5 18335.381399439037 51.32052027048613 0.176957769481941 1152.6208426520175 0.0 0.2943593661092622 
28 1.5517629973771554 -1.5517629973771554 0.0 0.0 0.5 19346.851044855688 26.88534491521345 0.13335494467152673 986.1339774120156 0.0 0.316125461828939 
29 1.9323075090265 -1.9323075090265 0.0 0.0 0.5 15103.51512025909 66.2523179636541 0.16371699623426833 1119.2479193998092 0.0 0.3027998933615129 
30 2.2855815113290006 -2.2855815113290006 0.0 0.0 0.5 3297.1126108968256 77.88008812119755 0.12027788101364735 1042.7747495337683 0.0 0.3198166810642162 
31 1.9958707342740634 -1.9958707342740634 0.0 0.0 0.5 5407.523068641821 65.2318580493783 0.1788574514915804 1091.6518495218302 0.0 0.3039234851932097 
32 1.653630378734416 -1.653630378734416 0.0 0.0 0.5 10145.13292640484 55.58552988859579 0.2735107402891642 1137.0289352996656 0.0 0.29729558430546105 
33 1.7384916890435758 -1.7384916890435758 0.0 0.0 0.5 8634.352921641315 46.974516581905064 0.2693571130296907 888.7407136370192 0.0 0.3102620002210574 
34 1.9062289669691712 -1.9062289669691712 0.0 0.0 0.5 24022.115979255846 57.551151140133754 0.13539888635499664 1242.33166744052 0.0 0.2978916733404366 
35 1.5581549048366927 -1.5581549048366927 0.0 0.0 0.5 26460.361505509205 28.642953415756985 0.11503560369352173 1225.0887519385255 0.0 0.3046923217442078 
36 2.099142266589908 -2.099142266589908 0.0 0.0 0.5 -1111.9030566452166 66.0249106760505 0.14963336957064882 916.7504272427965 0.0 0.3188300057255499 
37 2.019954887618669 -2.019954887618669 0.0 0.0 0.5 17187.230090970614 66.57421215853203 0.1504740919627976 1110.3852913738415 0.0 0.30171283230804585 
38 1.8855739956019109 -1.8855739956019109 0.0 0.0 0.5 15518.126734699059 41.00100562404846 0.24116177408463393 938.3701552691741 0.0 0.31677062845117054 
39 1.8950558547874647 -1.8950558547874647 0.0 0.0 0.5 14080.840493786667 48.654878861567916 0.23285648171555584 991.5427397366552 0.0 0.30914614744474495 
40 2.156202301816246 -2.156202301816246 0.0 0.0 0.5 10228.55184097034 69.7984990551605 0.15747820104907972 1321.4172242388638 0.0 0.2999395174723411 
41 2.0931148567818463 -2.0931148567818463 0.0 0.0 0.5 7528.550013194773 66.04973647292772 0.19305112041731678 1061.3834618658177 0.0 0.3118010180257895 
42 2.1080573283824555 -2.1080573283824555 0.0 0.0 0.5 6276.886717989089 71.47583219803074 0.16174947747517535 1219.4048837566484 0.0 0.30589719141496396 
43 1.993135652174291 -1.993135652174291 0.0 0.0 0.5 12550.64891688132 62.4511966177711 0.14334085736916183 1208.1284708106537 0.0 0.3009534530276937 
44 2.106009387771576 -2.106009387771576 0.0 0.0 0.5 9164.851790628802 60.19995902280199 0.14768094448496416 1162.4229642668706 0.0 0.31303126596244274 
45 1.4591767333670544 -1.4591767333670544 0.0 0.0 0.5 1278.8804218078058 78.13840023406067 0.23882198166500385 1179.425819925915 0.0 0.2875816758555126 
46 2.0870755929984726 -2.0870755929984726 0.0 0.0 0.5 17985.423233458983 57.273321265481755 0.1948904665744352 954.6252434511065 0.0 0.3084908696759449 
47 1.8673736291963847 -1.8673736291963847 0.0 0.0 0.5 17802.42459784611 44.64935777841263 0.13230941253983602 1285.3043284889256 0.0 0.3035046718556919 
48 1.943500803234988 -1.943500803234988 0.0 0.0 0.5 5541.068162617193 47.16898168613352 0.2056336609583027 892.3501283048712 0.0 0.32722133961996935 
49 1.7044508573292618 -1.7044508573292618 0.0 0.0 0.5 5372.4210420848985 62.12835359410349 0.30474123277594406 834.6344638481019 0.0 0.302584822952239 
50 2.2274684890203664 -2.2274684890203664 0.0 0.0 0.5 10309.237761885433 74.66563160544139 0.1458557157581874 1057.7199651331398 0.0 0.3100225716219168 
