idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
0 1.7267950328627444 -1.7267950328627444 0.0 0.0 0.5 22993.194407277995 90.14100143915323 0.1937771590657537 1300.1895603067824 0.0 0.29511093866416466 
1 1.754474672370805 -1.754474672370805 0.0 0.0 0.5 -2027.5850944165204 80.64985676113388 0.24887415766961204 1439.874192536706 0.0 0.29201966741366486 
2 1.6703517916538093 -1.6703517916538093 0.0 0.0 0.5 9823.658402193669 94.61085079497876 0.24781212954104204 1377.7976703289494 0.0 0.2907183800577514 
3 2.1263703329992527 -2.1263703329992527 0.0 0.0 0.5 19783.262586299512 59.661983818250235 0.1751656338896416 1403.0851310954636 0.0 0.2927204014091169 
4 2.019433746728111 -2.019433746728111 0.0 0.0 0.5 5642.791502195321 82.0756428847831 0.26161635011201034 1385.7530028281626 0.0 0.29146312361555254 
5 2.005663607096343 -2.005663607096343 0.0 0.0 0.5 25834.90296237317 73.29400264439103 0.24034047547925982 1464.5538720261911 0.0 0.2870140766636336 
6 1.9579419108541627 -1.9579419108541627 0.0 0.0 0.5 31138.427920966213 110.72702758668063 0.22137367267196817 1282.809493032966 0.0 0.2926682174777278 
7 1.9102702558477853 -1.9102702558477853 0.0 0.0 0.5 16480.65160467524 54.11436673741983 0.21679266438180753 1417.3877747618815 0.0 0.2885677301323837 
8 1.998744640218845 -1.998744640218845 0.0 0.0 0.5 11234.895322539418 67.95116343489937 0.2643999232493233 1407.2934662646285 0.0 0.2883469321382978 
9 2.218746972051014 -2.218746972051014 0.0 0.0 0.5 41452.930930796276 83.37240915633352 0.20032743923719853 1296.1776669431722 0.0 0.2949127714594116 
10 1.961876155233746 -1.961876155233746 0.0 0.0 0.5 28607.401126262237 92.06836225422585 0.2048107415406545 1248.790836356559 0.0 0.297273483689203 
11 2.272285071374471 -2.272285071374471 0.0 0.0 0.5 22615.886501370416 47.68356793454549 0.21320095117459054 1364.5763161357913 0.0 0.29139006470837714 
12 1.514765840152381 -1.514765840152381 0.0 0.0 0.5 -5661.678202216607 51.65743146658356 0.25803164450483995 1422.5828733978437 0.0 0.2912853181021597 
13 1.9317390083611505 -1.9317390083611505 0.0 0.0 0.5 5817.827963277654 48.54336754381163 0.2276507372413535 1373.7384668644272 0.0 0.292809742232509 
14 1.761351879400233 -1.761351879400233 0.0 0.0 0.5 29925.521402526854 106.96230818846058 0.21399003742651107 1241.1770102241953 0.0 0.2954529580823399 
15 1.804498809591626 -1.804498809591626 0.0 0.0 0.5 22174.950351203322 100.42467658644453 0.22767880105784702 1365.6082554084765 0.0 0.2947108744776645 
16 1.9237016395204993 -1.9237016395204993 0.0 0.0 0.5 22953.992199834 76.10418364779296 0.2291204154014309 1320.967329427205 0.0 0.2912857384675099 
17 1.7492532353279358 -1.7492532353279358 0.0 0.0 0.5 19666.874520844238 68.52064259038897 0.19423663836951033 1383.3666471514134 0.0 0.2965396377063443 
18 2.0709286555050865 -2.0709286555050865 0.0 0.0 0.5 30038.761426709338 89.18683318492826 0.23143855642454175 1191.8832306637112 0.0 0.29905320954702447 
19 1.7991003827755108 -1.7991003827755108 0.0 0.0 0.5 4000.470091935078 80.2921041164488 0.223855860903077 1435.3936603217608 0.0 0.29224309558662065 
20 1.3208416223698358 -1.3208416223698358 0.0 0.0 0.5 4278.540906863895 69.98686706167683 0.22321278335483793 1432.8514403772529 0.0 0.2911903318482247 
21 2.109719228054954 -2.109719228054954 0.0 0.0 0.5 30406.250494483105 78.20552981041067 0.21163942453354345 1317.2495057188016 0.0 0.29307649981197137 
22 1.7533450971281257 -1.7533450971281257 0.0 0.0 0.5 31372.243778189288 85.86906951153391 0.23020337072716063 1207.5562735937085 0.0 0.29501644770756297 
23 2.2166379919181898 -2.2166379919181898 0.0 0.0 0.5 21073.164762067456 90.1178571674902 0.23293583305087814 1282.6006133610792 0.0 0.2978080787312017 
24 2.127078498264299 -2.127078498264299 0.0 0.0 0.5 31907.3753830266 88.0808679061901 0.23041136089299405 1306.6121994972036 0.0 0.2933953699594238 
25 1.7711023678442237 -1.7711023678442237 0.0 0.0 0.5 33049.83281603023 46.528309068604955 0.168274620395659 1375.1344661388464 0.0 0.2936396450860424 
26 1.95353995248935 -1.95353995248935 0.0 0.0 0.5 17308.374155021713 24.946291600975446 0.16905849192095657 1349.0961623106548 0.0 0.29257670370268596 
27 2.370790697192068 -2.370790697192068 0.0 0.0 0.5 31197.473061333043 61.34277381109834 0.20541086503584668 1358.416780249958 0.0 0.2925988470769299 
28 2.068938175026099 -2.068938175026099 0.0 0.0 0.5 21900.842676621403 76.09364269690927 0.238044804933607 1362.4646747015038 0.0 0.2927066561308299 
29 1.7814769392288634 -1.7814769392288634 0.0 0.0 0.5 22184.164870088345 57.14527668718839 0.20231685473830235 1303.0963727095486 0.0 0.29276792531119616 
30 2.381840298836015 -2.381840298836015 0.0 0.0 0.5 31442.118460318983 101.39267792320909 0.24928683553104544 1325.140390413884 0.0 0.29181266232726216 
31 2.194413349214456 -2.194413349214456 0.0 0.0 0.5 35800.21782493803 107.65293223545163 0.2667651211099977 1264.381868251412 0.0 0.2940910639356366 
32 1.9845084023428523 -1.9845084023428523 0.0 0.0 0.5 18922.013991893375 98.48891635574961 0.27558828981032724 1352.5444537834937 0.0 0.2887968838105247 
33 2.0883853692617937 -2.0883853692617937 0.0 0.0 0.5 15047.929227875458 56.77113674263512 0.22730946148118136 1350.961635379044 0.0 0.29005836318263867 
34 1.5033461273952717 -1.5033461273952717 0.0 0.0 0.5 5179.216547010703 73.05400360056687 0.24442916264840198 1437.5624785295552 0.0 0.28838715504566725 
35 2.0856069452628803 -2.0856069452628803 0.0 0.0 0.5 16829.08234682446 89.02870033533513 0.24714175843176622 1340.4040328963004 0.0 0.2914665003600652 
36 1.8297844929698965 -1.8297844929698965 0.0 0.0 0.5 5459.977388502402 70.94070153787008 0.18540652892031406 1462.2866385983095 0.0 0.2926701074995177 
37 2.1869807511464825 -2.1869807511464825 0.0 0.0 0.5 32470.86917875734 58.30445721421481 0.21397253944134517 1362.5949526305812 0.0 0.2904507440912616 
38 1.9050845292957987 -1.9050845292957987 0.0 0.0 0.5 12720.438511271219 93.006820925598 0.24938515202943665 1292.4177104961846 0.0 0.2971673146659722 
39 1.6706028006103733 -1.6706028006103733 0.0 0.0 0.5 10005.166675200575 91.31138184953659 0.22579356468498776 1324.270815012017 0.0 0.2977483232290899 
40 2.3434275449625286 -2.3434275449625286 0.0 0.0 0.5 19657.038912130072 63.762703568597566 0.1871897070609963 1337.640721804791 0.0 0.2937446818532615 
41 1.9499605693276807 -1.9499605693276807 0.0 0.0 0.5 33029.49412105071 77.93341028211661 0.2397075000453615 1296.4099452927728 0.0 0.29264476876961226 
42 1.5872839544800885 -1.5872839544800885 0.0 0.0 0.5 25772.709241281624 37.48341666228583 0.20942520364273626 1383.0159292484236 0.0 0.2905680064689966 
43 1.9264034450579175 -1.9264034450579175 0.0 0.0 0.5 12994.993207737332 87.40057514909323 0.2554428038203162 1332.4637032156813 0.0 0.2931757236511 
44 1.7779969283245298 -1.7779969283245298 0.0 0.0 0.5 23695.26340771291 85.31005050169838 0.2512291628376148 1431.601436006335 0.0 0.2894354484578861 
45 2.2048048089670673 -2.2048048089670673 0.0 0.0 0.5 15574.654825227508 99.21818317174085 0.24069308738492268 1313.883225789351 0.0 0.2981696431718473 
46 2.188459558975901 -2.188459558975901 0.0 0.0 0.5 25487.34006231316 105.92559082736479 0.23020024707169093 1371.4383920206926 0.0 0.2918713808420853 
47 1.9729795197841624 -1.9729795197841624 0.0 0.0 0.5 33477.523728859735 101.63998908813846 0.24587471190082907 1238.8737824466107 0.0 0.29505559761411265 
48 2.0813222683653088 -2.0813222683653088 0.0 0.0 0.5 19816.805872529418 69.0359843356741 0.21712688199275323 1315.5056741769663 0.0 0.2924590549578794 
49 2.095843940386633 -2.095843940386633 0.0 0.0 0.5 15009.114246825044 70.75641785032188 0.23487897328587135 1398.0676252093256 0.0 0.29247139894108265 
50 1.92210347945745 -1.92210347945745 0.0 0.0 0.5 7403.967685038434 52.792844545880754 0.21991558535019964 1473.3271012282858 0.0 0.2896556317024607 
51 1.9045266770357159 -1.9045266770357159 0.0 0.0 0.5 15582.6820162326 49.49286936745224 0.20437369136567052 1368.811548768073 0.0 0.2925301836331057 
52 2.469340400866061 -2.469340400866061 0.0 0.0 0.5 27507.57546905476 58.96631155182764 0.2055143867433258 1346.2032728197316 0.0 0.2903863200420168 
53 1.8290729302851099 -1.8290729302851099 0.0 0.0 0.5 53.13886536782502 75.4184929331044 0.2307940581503367 1444.8474425034929 0.0 0.2917113271725739 
54 1.8191290280793744 -1.8191290280793744 0.0 0.0 0.5 18896.563388709816 34.913255037182545 0.14841503543161 1346.404744055551 0.0 0.29468212857147125 
55 1.5408298625527646 -1.5408298625527646 0.0 0.0 0.5 13731.810087508491 75.95987385047253 0.2107046577447213 1417.775393161546 0.0 0.2922737281316618 
56 1.88697592392635 -1.88697592392635 0.0 0.0 0.5 28221.617070310127 107.48833278066478 0.23374903221074483 1330.785599221089 0.0 0.2922442683693038 
57 1.7612918639580484 -1.7612918639580484 0.0 0.0 0.5 25726.335965358798 61.72076772162485 0.1795175617409336 1399.7640269418496 0.0 0.2931001636151454 
58 2.0850451854870733 -2.0850451854870733 0.0 0.0 0.5 31765.812528436578 72.75600668124115 0.25211280426950905 1401.5756225546525 0.0 0.2875364576142251 
59 1.566154211421011 -1.566154211421011 0.0 0.0 0.5 15739.584722935457 40.1472909873168 0.19690627289732102 1468.8039188309224 0.0 0.28861734430390384 
60 1.8981609461195343 -1.8981609461195343 0.0 0.0 0.5 20845.69448827355 78.54708052779975 0.21546748206380892 1291.5963123310391 0.0 0.29441774643323615 
61 2.3976603115707498 -2.3976603115707498 0.0 0.0 0.5 8213.08377664884 54.29160314260953 0.1823594349894426 1403.05275218784 0.0 0.29295081521210725 
62 1.8619136829555918 -1.8619136829555918 0.0 0.0 0.5 34743.631998259036 60.48784239531969 0.22454600948855583 1342.6210592657405 0.0 0.2942558558429695 
63 1.9521675321085845 -1.9521675321085845 0.0 0.0 0.5 24700.43384456396 72.059382246259 0.2191445023093363 1367.2487821278667 0.0 0.2903869259003926 
64 1.8627399671536133 -1.8627399671536133 0.0 0.0 0.5 21957.944913787476 75.79475684777019 0.2312509317065673 1459.0782463472694 0.0 0.28684182700801947 
65 1.8191555734334173 -1.8191555734334173 0.0 0.0 0.5 16420.546070049506 105.75938767751305 0.21073547437891788 1409.7662186043153 0.0 0.29452684868217655 
66 2.1213229841161803 -2.1213229841161803 0.0 0.0 0.5 41387.340192737036 103.8874664674988 0.24896647473980985 1234.1576238517032 0.0 0.29680873407558445 
67 1.3579066282221448 -1.3579066282221448 0.0 0.0 0.5 12731.967964470996 86.7340064813546 0.22315356405900214 1410.425671360287 0.0 0.2933172866863927 
68 2.1679429551821197 -2.1679429551821197 0.0 0.0 0.5 13905.842290907869 95.04244759124998 0.23742221100531238 1410.3637941281497 0.0 0.29394436770307003 
