idx chrg_Mg chrg_O p_MgMg_a p_MgMg_c p_MgMg_rho p_OO_a p_OO_c p_OO_rho p_MgO_a p_MgO_c p_MgO_rho 
0 1.6859045697053736 -1.6859045697053736 0.0 0.0 0.5 34493.510289004065 135.2732759122014 0.22921984452715696 1499.8402420313057 0.0 0.28805438861891713 
1 1.711183205348253 -1.711183205348253 0.0 0.0 0.5 19601.42024140021 136.95570727259104 0.239983915732765 1547.961500618652 0.0 0.2863947052426561 
2 1.6644461881870858 -1.6644461881870858 0.0 0.0 0.5 45605.563642960034 120.32956183426106 0.21316408202487067 1448.9899684114675 0.0 0.2909888833564162 
3 1.3312055296258152 -1.3312055296258152 0.0 0.0 0.5 19427.179882872104 99.07754961392106 0.2336784152219741 1600.1545167467614 0.0 0.2840830210323126 
4 0.8129617153826861 -0.8129617153826861 0.0 0.0 0.5 24242.585950814384 150.25759116731086 0.23306698947505125 1482.5816085908584 0.0 0.2898671321267838 
5 1.552437850696104 -1.552437850696104 0.0 0.0 0.5 20723.082691640135 116.39731400416153 0.23819874091298013 1552.7275809434027 0.0 0.2850289064325607 
6 2.1490259191361614 -2.1490259191361614 0.0 0.0 0.5 36643.6414952856 112.70406679822648 0.2239651193713742 1546.7560946251122 0.0 0.28605131742755185 
7 1.004964767468314 -1.004964767468314 0.0 0.0 0.5 28629.578905696675 158.20177340945892 0.23280391049858437 1414.732972853068 0.0 0.2918525944249123 
8 1.8394019185175146 -1.8394019185175146 0.0 0.0 0.5 32755.855836580697 138.26537663288656 0.22987367281939539 1442.9924949213837 0.0 0.2901702159887649 
9 0.6616634784256954 -0.6616634784256954 0.0 0.0 0.5 30504.523038322957 147.58637126939598 0.23309788387781374 1433.1742812107811 0.0 0.29024409091859454 
10 1.0726806165325824 -1.0726806165325824 0.0 0.0 0.5 21670.16550769835 136.8504797495591 0.23838391066553788 1556.2911209353597 0.0 0.28548709159894453 
11 2.0341074916225157 -2.0341074916225157 0.0 0.0 0.5 14789.744529748441 141.72454171168843 0.24347192990907815 1433.2895023688798 0.0 0.290427212399742 
12 2.1756414732810065 -2.1756414732810065 0.0 0.0 0.5 32970.64273511692 112.89088850478053 0.22357569389785775 1464.303930274809 0.0 0.28984274022039413 
13 1.6527102046384121 -1.6527102046384121 0.0 0.0 0.5 39784.95108179327 107.68541889575887 0.22183211028527122 1522.6382761265681 0.0 0.286763630045756 
14 1.213002802408167 -1.213002802408167 0.0 0.0 0.5 32875.32233423772 140.19497920672026 0.2295293548063596 1474.4371666347358 0.0 0.2892511560345614 
15 1.65564667655963 -1.65564667655963 0.0 0.0 0.5 39317.207553867214 109.99886517887532 0.21921576707571352 1531.3716007121093 0.0 0.28768217749246144 
16 1.7336296890370524 -1.7336296890370524 0.0 0.0 0.5 43519.514532579255 124.64169628855132 0.22026443093078274 1414.2544497117633 0.0 0.291920752144102 
17 1.7947536788435334 -1.7947536788435334 0.0 0.0 0.5 34475.47286605143 151.85299457761917 0.2297786828333968 1381.8662886342393 0.0 0.2926030328050909 
18 0.018374784137341227 -0.018374784137341227 0.0 0.0 0.5 21371.386235133756 139.15970767786013 0.23980013026655858 1553.2471947871227 0.0 0.2856861947976044 
19 1.1434137003078546 -1.1434137003078546 0.0 0.0 0.5 13062.979019244987 122.8851302705994 0.2382683271128215 1552.4292317478528 0.0 0.28699277297804954 
20 1.296747427481814 -1.296747427481814 0.0 0.0 0.5 1589.3331144096446 127.65461596548643 0.24927579967414154 1536.7265899839674 0.0 0.28619795436469375 
21 1.6476822608383301 -1.6476822608383301 0.0 0.0 0.5 27696.0111167173 141.19238771657157 0.23494127275687118 1463.379179595588 0.0 0.288502074170285 
22 1.3592619200154865 -1.3592619200154865 0.0 0.0 0.5 22260.413093924326 143.41632551678708 0.24000756963187758 1498.1952891098745 0.0 0.2882638223648942 
23 1.606138766203983 -1.606138766203983 0.0 0.0 0.5 45340.89988924787 130.3871058810263 0.2117080345612953 1411.3894351839685 0.0 0.2931920508938069 
24 2.1515148462119456 -2.1515148462119456 0.0 0.0 0.5 37604.471224408924 129.09688223642917 0.23034815795032057 1521.268016797897 0.0 0.2855113533267622 
